,Date_Reported,EventID,CaseID,Offense_Category,Offense_Description,Initial_Incident_Category,Initial_Incident_Description,Final_Incident_Category,Final_Incident_Description,Date_From,Date_To,Location,Location_Type,Disposition
905,2023-12-27 15:11,23-12-27-369707,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2023-12-27 15:11,2023-12-27 15:11,500 Block Of  27TH ST,Non-reportable location,RESOLVED UPON ARRIVAL
906,2023-12-27 14:08,23-12-27-369660,2306801,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2023-12-27 14:08,2023-12-27 14:08,STEVEN & KATHRYN SAMPLE HALL,On Campus,CLOSED
907,2023-12-27 13:16,23-12-27-369619,,,,TRESPASS,Trespass Warning,TRESPASS,Trespass Warning,2023-12-27 13:16,2023-12-27 13:16,29TH ST & ELLENDALE PL,Non-reportable location,ADVISED & COMPLIED
908,2023-12-27 13:06,23-12-27-369608,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2023-12-27 13:06,2023-12-27 13:06,JOHN HUBBARD HALL,On Campus,ADVISED & COMPLIED
909,2023-12-27 12:53,23-12-27-369602,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2023-12-27 12:53,2023-12-27 12:53,WAITE PHILLIPS HALL OF EDUCATION,On Campus,ADVISED & COMPLIED
910,2023-12-27 12:20,23-12-27-369587,2306800,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2023-12-27 12:20,2023-12-27 12:20,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
911,2023-12-27 11:18,23-12-27-369553,2306799,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2023-12-26 12:00,2023-12-27 10:00,1100 Block Of  36TH PL,Non-reportable location,Inactive Investigation
912,2023-12-27 10:34,23-12-27-369527,2306798,FIRE,Alarm Smoke,FIRE,Fire Pre-Alarm,FIRE,Alarm Smoke,2023-12-27 10:34,2023-12-27 10:34,SHELLY & OFER NEMIROVSKY AND DAVID C. BOHNETT RESIDENTIAL COLLEGE,On Campus Residential Facility,CLOSED
913,2023-12-27 09:19,23-12-27-369480,2306796,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2023-12-27 09:19,2023-12-27 09:19,1000 Block Of  Downey way,Public property,CLOSED
914,2023-12-27 08:01,23-12-27-369362,2306797,BURGLARY,Burglary - Commercial,ALARM RESPONSE,Intrusion Alarm-Door Forced Open,BURGLARY,Burglary - Commercial.1,2023-12-27 06:37,2023-12-27 07:00,HEALTH SCIENCE ALHAMBRA BUILDING,On Campus,CLOSED
915,2023-12-27 07:06,23-12-27-369405,2306795,SERVICE,Welfare Check,OFFICER STATUS,LAPD Radio Call,SERVICE,Welfare Check,2023-12-27 07:06,2023-12-27 07:06,HSC STUDENT HOUSING PHASE II,On Campus Residential Facility,CLOSED
916,2023-12-27 05:14,23-12-27-369333,2306794,SERVICE,Incident Report - No Crime,TRESPASS,Trespassing,SERVICE,Incident Report - No Crime,2023-12-27 03:55,2023-12-27 03:55,37TH DR & CATALINA ST,Non-reportable location,Inactive Investigation
917,2023-12-26 17:27,23-12-26-368888,2306793,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2023-12-25 19:30,2023-12-26 15:00,2300 Block Of  PORTLAND ST,Non-reportable location,Inactive Investigation
918,2023-12-26 16:55,23-12-26-368926,,,,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2023-12-26 16:55,2023-12-26 16:55,2300 Block Of  PORTLAND ST,Non-reportable location,CANCELLED EVENT
919,2023-12-26 15:37,23-12-26-368879,2306792,BURGLARY,Burglary - Residential,BURGLARY,Burglary - Residential,BURGLARY,Burglary - Residential,2023-12-02 12:00,2023-12-25 18:00,3700 Block Of  FIGUEROA ST,Non-reportable location,Inactive Investigation
920,2023-12-26 14:53,23-12-26-368850,2306813,SERVICE,Incident Report - No Crime,OFFICER STATUS,Vehicle Patrol Check,SERVICE,Incident Report - No Crime,2023-12-26 14:53,2023-12-26 14:53,FIGUEROA CORRIDOR,Non-reportable location,Inactive Investigation
921,2023-12-26 11:36,23-12-26-368714,2306791,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,2023-12-26 04:50,2023-12-26 11:15,HEALTHCARE CENTER 4,On Campus,Inactive Investigation
922,2023-12-26 11:21,23-12-15-358505,2306790,PROPERTY,Recovered/Impounded Bicycle/Scooter,OFFICER STATUS,Notification,PROPERTY,Recovered/Impounded Bicycle/Scooter,2023-12-15 07:30,2023-12-26 11:21,GENERAL WILLIAM LYON UNIVERSITY CENTER,On Campus,CLOSED
923,2023-12-26 10:32,23-12-26-368669,2306789,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2023-12-26 10:32,2023-12-26 10:32,PARKSIDE APARTMENTS I,On Campus Residential Facility,Inactive Investigation
924,2023-12-26 09:00,23-12-26-368616,2306788,ASSAULT,Assault-Other Dangerous Weapon,OFFICER STATUS,LAPD Radio Call,ASSAULT,Assault-Other Dangerous Weapon,2023-12-26 09:00,2023-12-26 09:00,ADAMS BL & GRAND AV,Non-reportable location,Inactive Investigation
925,2023-12-26 01:53,23-12-26-368407,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2023-12-26 01:53,2023-12-26 01:53,1200 Block Of  30TH ST,Non-reportable location,ADVISED & COMPLIED
926,2023-12-25 13:53,23-12-25-368007,2306787,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2023-12-25 13:53,2023-12-25 13:53,JEFFERSON BL & FIGUEROA ST,Public property,Inactive Investigation
927,2023-12-25 11:10,23-12-25-367927,2306786,VEHICLE CODE,Hit & Run,VEHICLE CODE,Hit & Run  Misdemeanor,VEHICLE CODE,Hit & Run Misdemeanor,2023-12-23 16:30,2023-12-24 10:30,FIGUEROA STREET STRUCTURE,On Campus,Inactive Investigation
928,2023-12-25 09:38,23-12-25-367905,2306784,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2023-12-25 09:38,2023-12-25 09:38,CHILDS WY & MCCLINTOCK AV,On Campus,Inactive Investigation
929,2023-12-25 09:34,23-12-25-367904,2306785,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2023-12-25 04:00,2023-12-25 08:30,600 Block Of  28TH ST,Non-reportable location,Inactive Investigation
930,2023-12-25 08:12,23-12-25-367874,2306783,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-25 08:00,2023-12-25 08:00,1200 Block Of  30TH ST,Non-reportable location,Inactive Investigation
931,2023-12-25 06:56,23-12-25-367828,2306782,THEFT-PETTY,Theft Bicycle,SERVICE,Welfare Check,THEFT-PETTY,Theft Bicycle,2023-12-11 14:00,2023-12-25 06:56,3000 Block Of  ROYAL ST,Non-campus building or property,Inactive Investigation
932,2023-12-25 02:21,23-12-25-367705,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2023-12-25 02:21,2023-12-25 02:21,MCCLINTOCK AVE. ENTRANCE,On Campus,REQUEST COMPLETED
933,2023-12-24 16:26,23-12-24-367431,2306781,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,2023-12-22 22:00,2023-12-24 14:30,SAN PABLO PARKING STRUCTURE,On Campus,Inactive Investigation
934,2023-12-24 06:25,23-12-24-367101,2306780,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2023-12-24 06:25,2023-12-24 06:25,MCCLINTOCK AVE. ENTRANCE,On Campus,Inactive Investigation
935,2023-12-24 03:36,23-12-24-367055,2306779,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,ADMINISTRATIVE,Camera Observation,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,2023-12-24 03:36,2023-12-24 03:36,1100 Block Of  36TH PL,Non-reportable location,Cleared Arrest
936,2023-12-24 01:51,23-12-24-367024,2306778,DISORDERLY CONDUCT,"Prowling, Loitering",ADMINISTRATIVE,Camera Observation,DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-24 01:51,2023-12-24 01:51,30TH ST & ORCHARD AV,Non-reportable location,Inactive Investigation
937,2023-12-24 00:43,23-12-24-366982,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2023-12-24 00:43,2023-12-24 00:43,2300 Block Of  PORTLAND ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
938,2023-12-23 21:07,23-12-23-366851,2306777,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-23 21:07,2023-12-23 21:07,CARDINAL GARDENS,On Campus Residential Facility,Inactive Investigation
939,2023-12-23 20:33,23-12-23-366839,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2023-12-23 20:33,2023-12-23 20:33,DULCE,On Campus,ADVISED & COMPLIED
940,2023-12-23 18:07,23-12-23-366768,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2023-12-23 18:07,2023-12-23 18:07,28TH ST & ORCHARD ST,Non-reportable location,REQUEST COMPLETED
941,2023-12-23 16:27,23-12-23-366593,2306775,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2023-12-21 19:15,2023-12-21 19:15,1300 Block Of  30TH PL,Non-reportable location,Inactive Investigation
942,2023-12-23 16:27,23-12-23-366714,2306776,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2023-12-22 13:28,2023-12-22 13:28,1300 Block Of  30TH PL,Non-reportable location,Inactive Investigation
943,2023-12-23 15:09,23-12-23-366655,2306774,TRESPASS,Trespassing,ADMINISTRATIVE,Camera Observation,TRESPASS,Trespassing,2023-12-23 15:09,2023-12-23 15:09,700 Block Of  28TH ST,Non-campus building or property,Inactive Investigation
944,2023-12-23 14:46,23-12-23-366634,2306773,TRESPASS,Trespass Warning,OFFICER STATUS,Out for Investigation,TRESPASS,Trespass Warning,2023-12-23 14:28,2023-12-23 14:31,CENTER OF VILLAGE,On Campus,Inactive Investigation
945,2023-12-23 14:11,23-12-23-366610,2306772,ADMINISTRATIVE,Report Voided,OFFICER STATUS,Out for Investigation,TRESPASS,Trespass Warning,2023-12-23 14:11,2023-12-23 14:11,CENTER OF VILLAGE,On Campus,Void
946,2023-12-23 13:50,23-12-23-366598,2306771,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,2023-12-23 13:40,2023-12-23 13:41,STEVEN & KATHRYN SAMPLE HALL,On Campus,Inactive Investigation
947,2023-12-23 13:07,23-12-23-366566,2306770,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,2023-12-22 21:00,2023-12-23 09:00,36TH ST & NORMANDIE AV,Non-reportable location,Inactive Investigation
948,2023-12-23 10:49,23-12-23-366498,2306769,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2023-12-23 10:49,2023-12-23 10:49,36TH ST & NORMANDIE AV,Non-reportable location,CLOSED
949,2023-12-23 04:13,23-12-23-366259,2306768,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-23 04:13,2023-12-23 04:13,1200 Block Of  37TH DR,Non-reportable location,Inactive Investigation
950,2023-12-22 22:41,23-12-22-366049,2306767,TRESPASS,Trespassing,ADMINISTRATIVE,Camera Observation,TRESPASS,Trespassing,2023-12-22 22:41,2023-12-22 22:41,700 Block Of  28TH ST,Non-reportable location,Inactive Investigation
951,2023-12-22 20:09,23-12-22-365923,2306766,CRIMINAL THREATS,Criminal Threats,CRIMINAL THREATS,Criminal Threats,CRIMINAL THREATS,Criminal Threats,2023-12-22 18:00,2023-12-22 18:00,OUTSIDE USC AREA,Non-reportable location,Inactive Investigation
952,2023-12-22 18:51,23-12-22-365881,2306765,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2023-12-22 18:35,2023-12-22 18:35,TARGET EXPRESS,On Campus,Inactive Investigation
953,2023-12-22 17:52,23-12-22-365840,2306764,BATTERY,Battery,SEX OFFENSE,Sexual Battery,BATTERY,Battery,2023-12-12 16:45,2023-12-12 16:47,OUTSIDE USC AREA,Non-reportable location,Inactive Investigation
954,2023-12-22 15:20,23-12-22-365732,2306763,SERVICE,Incident Report - No Crime,OFFICER STATUS,Out for Investigation,SERVICE,Incident Report - No Crime,2023-04-15 12:00,2023-12-14 12:00,ETHEL PERCY ANDRUS GERONTOLOGY CENTER,On Campus,Investigation Continued
955,2023-12-22 15:11,23-12-22-365720,2306762,SERVICE,Incident Report - No Crime,HOSPITAL,Security Incident,SERVICE,Incident Report - No Crime,2023-12-22 15:11,2023-12-22 15:11,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
956,2023-12-22 14:09,23-12-22-365662,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-22 14:09,2023-12-22 14:09,ADAMS BL & HOOVER ST,Non-reportable location,REQUEST COMPLETED
957,2023-12-22 13:37,23-12-22-365639,2306761,SERVICE,Incident Report - No Crime,BATTERY,Battery,SERVICE,Incident Report - No Crime,2023-12-22 13:19,2023-12-22 13:19,30TH ST & ORCHARD AV,Non-reportable location,Inactive Investigation
958,2023-12-22 12:30,23-12-22-365586,,,,THEFT-PETTY,Theft Petty - Plain-Attempt,THEFT-PETTY,Theft Petty - Plain-Attempt,2023-12-22 12:30,2023-12-22 12:30,STARBUCKS,On Campus,REQUEST COMPLETED
959,2023-12-22 11:44,23-12-22-365561,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2023-12-22 11:44,2023-12-22 11:44,FEDEX,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
960,2023-12-22 09:51,23-12-22-365504,2306760,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2023-12-22 09:51,2023-12-22 09:51,MARK TAPER HALL OF HUMANITIES,On Campus,CLOSED
961,2023-12-22 09:09,23-12-22-365480,2306759,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2023-12-22 09:09,2023-12-22 09:09,800 Block Of  32ND ST,Non-reportable location,CLOSED
962,2023-12-21 22:52,23-12-21-365036,2306757,SERVICE,Commitment To Mental Health For 72 Hrs,SERVICE,Welfare Check,SERVICE,Commitment To Mental Health For 72 Hrs,2023-12-21 22:52,2023-12-21 22:52,3800 Block Of  FLOWER DR,Non-reportable location,CLOSED
963,2023-12-21 20:59,23-12-21-364917,2306756,TRESPASS,Trespassing,TRESPASS,Trespassing,TRESPASS,Trespassing,2023-12-21 20:59,2023-12-21 20:59,2800 Block Of  ELLENDALE PL,Non-reportable location,Inactive Investigation
964,2023-12-21 18:47,23-12-21-364820,2306755,SERVICE,Incident Report - No Crime,DISORDERLY CONDUCT,"Prowling, Loitering",SERVICE,Incident Report - No Crime,2023-12-21 18:47,2023-12-21 18:47,HEALTH SCIENCES CAMPUS PARKING STRUCTURE,On Campus,CLOSED
965,2023-12-21 18:01,23-12-21-364789,2306754,INCIDENT,Domestic Dispute,INCIDENT,Domestic Dispute,INCIDENT,Domestic Dispute,2023-12-21 18:01,2023-12-21 18:01,2700 Block Of  ORCHARD AV,Non-reportable location,Inactive Investigation
966,2023-12-21 13:14,23-12-21-364539,2306753,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,2023-12-19 15:00,2023-12-20 15:00,1500 Block Of  SAN PABLO ST,Non-campus building or property,Inactive Investigation
967,2023-12-21 13:01,23-12-21-364521,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2023-12-21 13:01,2023-12-21 13:01,3400 Block Of  GRAND AV,Non-campus building or property,REQUEST COMPLETED
968,2023-12-21 12:53,23-12-21-364518,2306752,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2023-12-20 06:30,2023-12-20 15:30,1500 Block Of  SAN PABLO ST,Non-campus building or property,Inactive Investigation
969,2023-12-21 10:57,23-12-21-364450,2306751,DISTURBANCE,Disturbing The Peace,SERVICE,Incident Report - No Crime,DISTURBANCE,Disturbing The Peace,2023-12-21 05:20,2023-12-21 05:25,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
970,2023-12-21 10:42,23-12-21-364443,2306750,TRESPASS,Trespassing,TRESPASS,Trespassing,TRESPASS,Trespassing,2023-12-21 10:42,2023-12-21 10:42,900 Block Of  28TH ST,Non-reportable location,Inactive Investigation
971,2023-12-21 03:48,23-12-21-364212,2306749,SERVICE,Incident Report - No Crime,DISORDERLY CONDUCT,"Prowling, Loitering",SERVICE,Incident Report - No Crime.1,2023-12-21 03:30,2023-12-21 03:30,900 Block Of  28TH ST,Non-reportable location,Inactive Investigation
972,2023-12-21 01:55,23-12-21-365009,2306758,VANDALISM,Vandalism,VANDALISM,Vandalism,VANDALISM,Vandalism,2023-12-21 01:55,2023-12-21 01:55,DOWNEY WAY STRUCTURE,On Campus,Inactive Investigation
973,2023-12-20 20:10,23-12-20-363881,2306748,TRESPASS,Trespassing,OFFICER STATUS,Out for Investigation,TRESPASS,Trespassing,2023-12-20 20:10,2023-12-20 20:10,700 Block Of  28TH ST,Non-reportable location,Inactive Investigation
974,2023-12-20 15:11,23-12-20-363687,2306747,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2023-12-20 15:11,2023-12-20 15:11,BRITTINGHAM INTRAMURAL FIELD,On Campus,Inactive Investigation
975,2023-12-20 09:44,23-12-20-363448,2306745,FIRE,Alarm Activation,FIRE,Alarm Smoke,FIRE,Alarm Activation,2023-12-20 09:44,2023-12-20 09:44,WILLIAM AND LESLIE MCMORROW RESIDENTIAL COLLEGE,On Campus Residential Facility,Cleared Other
976,2023-12-20 09:39,23-12-20-363445,2306746,ROBBERY,Robbery-Fear,ROBBERY,Robbery-Fear - Attempt,ROBBERY,Robbery-Fear,2023-12-19 09:30,2023-12-19 09:30,2400 Block Of  FLOWER ST,Non-reportable location,Inactive Investigation
977,2023-12-20 08:05,23-12-20-363372,,,,VEHICLE CODE,Hit & Run  Misdemeanor,VEHICLE CODE,Hit & Run Misdemeanor,2023-12-20 08:05,2023-12-20 08:05,SAN PABLO PARKING STRUCTURE,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
978,2023-12-20 07:34,23-12-20-363346,2306744,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,2023-12-20 00:00,2023-12-20 00:00,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
979,2023-12-20 07:08,23-12-20-363318,2306743,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2023-12-20 07:08,2023-12-20 07:08,CURRIE HALL,On Campus Residential Facility,CLOSED
980,2023-12-20 03:36,23-12-20-363212,2306742,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-20 03:30,2023-12-20 03:30,1200 Block Of  27TH ST,Non-campus building or property,Inactive Investigation
981,2023-12-20 00:43,23-12-20-363116,2306741,SERVICE,Incident Report - No Crime,DISTURBANCE,Disturbing The Peace,SERVICE,Incident Report - No Crime,2023-12-20 00:43,2023-12-20 00:43,32ND ST & HOOVER ST,Public property,Inactive Investigation
982,2023-12-19 20:58,23-12-19-362936,2306739,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2023-12-18 19:00,2023-12-19 20:50,1100 Block Of  36TH PL,Non-reportable location,Inactive Investigation
983,2023-12-19 20:51,23-12-19-362930,2306740,TRESPASS,Trespassing,TRESPASS,Trespassing,TRESPASS,Trespassing,2023-12-19 20:51,2023-12-19 20:51,2800 Block Of  MENLO AV,Non-reportable location,Inactive Investigation
984,2023-12-19 19:45,23-12-19-362898,2306738,SERVICE,Welfare Check,SERVICE,Welfare Check,SERVICE,Welfare Check,2023-12-19 19:45,2023-12-19 19:45,JESSIE & CHARLES CALE AND RAY IRANI RESIDENTIAL COLLEGE,On Campus Residential Facility,CLOSED
985,2023-12-19 18:10,23-12-19-362839,2306736,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,2023-12-18 19:20,2023-12-19 18:00,SAN PABLO PARKING STRUCTURE,On Campus,Inactive Investigation
986,2023-12-19 17:47,23-12-19-362822,2306735,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2023-11-07 10:30,2023-11-08 23:40,TARGET EXPRESS,On Campus,Inactive Investigation
987,2023-12-19 16:58,23-12-19-362789,2306737,SERVICE,Welfare Check,SERVICE,Welfare Check,SERVICE,Welfare Check,2023-12-19 16:58,2023-12-19 16:58,3800 Block Of  FLOWER DR,Non-reportable location,CLOSED
988,2023-12-19 15:31,23-12-19-362711,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2023-12-19 15:31,2023-12-19 15:31,GEORGE FINLEY BOVARD ADMINISTRATION BUILDING,On Campus,ADVISED & COMPLIED
989,2023-12-19 15:12,23-12-19-362692,2306734,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2023-10-30 17:00,2023-11-02 08:45,JIMMY IOVINE AND ANDRE YOUNG HALL,On Campus,Inactive Investigation
990,2023-12-19 14:40,23-12-19-362663,,,,SERVICE,Illness Response,LA MUNICIPAL CODE,Illegal Dumping,2023-12-19 14:40,2023-12-19 14:40,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTIT,On Campus,REQUEST COMPLETED
991,2023-12-19 11:30,23-12-19-362500,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2023-12-19 11:30,2023-12-19 11:30,ANNENBERG SCHOOL FOR COMMUNICATION,On Campus,RESOLVED UPON ARRIVAL
992,2023-12-19 11:24,23-12-19-362498,2306733,SERVICE,Welfare Check,SERVICE,Welfare Check,SERVICE,Welfare Check,2023-12-19 11:24,2023-12-19 11:24,SEELEY G. MUDD BUILDING,On Campus,CLOSED
993,2023-12-19 05:43,23-12-19-362230,2306732,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2023-11-27 00:01,2023-11-27 07:30,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
994,2023-12-18 23:38,23-12-18-361998,2306731,SERVICE,Incident Report - No Crime,BURGLARY,Burglary-Hot Prowl,SERVICE,Incident Report - No Crime,2023-12-18 23:30,2023-12-18 23:30,30TH ST & CATALINA ST,Non-reportable location,Inactive Investigation
995,2023-12-18 14:37,23-12-18-361544,,,,PROPERTY,Damaged Property,VEHICLE CODE,Hit & Run Misdemeanor,2023-12-18 14:37,2023-12-18 14:37,DOWNEY WAY STRUCTURE,On Campus,REQUEST COMPLETED
996,2023-12-18 11:55,23-12-18-361420,2306730,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,2023-12-18 06:30,2023-12-18 11:15,SAN PABLO PARKING STRUCTURE,On Campus,Inactive Investigation
997,2023-12-18 11:43,23-12-18-361410,2306729,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,2023-12-18 09:10,2023-12-18 11:20,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTIT,On Campus,Inactive Investigation
998,2023-12-18 11:01,23-12-18-361383,2306727,SERVICE,Incident Report - No Crime,TRESPASS,Trespassing,SERVICE,Incident Report - No Crime,2023-12-18 11:01,2023-12-18 11:01,2600 Block Of  ELLENDALE PL,Non-reportable location,Inactive Investigation
999,2023-12-18 10:38,23-12-18-361367,2306728,HARASSMENT,"Obscene, Annoying, Threatening Phone Calls",HARASSMENT,"Obscene, Annoying, Threatening Phone Calls",HARASSMENT,"Obscene, Annoying, Threatening Phone Calls",2023-12-15 22:18,2023-12-15 22:18,1100 Block Of  CUMMINGS ST,Non-campus building or property,Inactive Investigation
1000,2023-12-18 06:10,23-12-18-361189,2306726,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,OFFICER STATUS,Out for Investigation,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,2023-12-17 12:30,2023-12-18 06:10,4100 Block Of  VALLEY BL,Non-campus building or property,Inactive Investigation
1001,2023-12-18 02:20,23-12-18-361099,2306725,ASSAULT,Assault-Firearm,TRAFFIC,Traffic Collision Without Injuries,ASSAULT,Assault-Firearm,2023-12-18 02:20,2023-12-18 02:20,JEFFERSON BL & VERMONT AV,Public property,Inactive Investigation
1002,2023-12-17 22:13,23-12-17-360942,2306724,MOTOR VEHICLE THEFT,Grand Theft Auto,OFFICER STATUS,Out for Investigation-Flag Down,MOTOR VEHICLE THEFT,Grand Theft Auto,2023-12-17 12:30,2023-12-17 21:00,NORFOLK ST & PLAYGROUND ST,Public property,Inactive Investigation
1003,2023-12-17 18:34,23-12-17-360796,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2023-12-17 18:34,2023-12-17 18:34,TARGET EXPRESS,On Campus,REQUEST COMPLETED
1004,2023-12-17 15:59,23-12-17-360680,2306723,THEFT-PETTY,Shoplifting,THEFT-PETTY,Shoplifting,THEFT-PETTY,Shoplifting,2023-12-17 15:59,2023-12-17 15:59,PERTUSATI UNIVERSITY BOOKSTORE,On Campus,Inactive Investigation
1005,2023-12-17 15:58,23-12-17-360681,2306722,THEFT-PETTY,Theft Petty - Plain,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,2023-12-17 07:00,2023-12-17 15:30,WAITE PHILLIPS HALL OF EDUCATION,On Campus,Inactive Investigation
